geoid,name,state,pop,historicalPersistenceScore,outlook,historicalWinnerIndex,mechanismScore,mechanismRealLogGrowth,historicalRelativeGrowth,structuralScore,valuationGap,modelDisagreement,zhvi2025,medianValue,housingMarketEligible,confidence,confidenceReasons,engines,human,access,regen,gateway,amenity,scarcity,health,distress,tags,positives,negatives
0622230,El Monte city,CA,107066,3.431,3.431,0.947,0.578,0.309,0.043,1.868,-0.405,2.853,752007,626000,1,medium,statistical/mechanism disagreement,0.04,-0.52,1.88,0,4.58,-0.12,1.44,-0.25,-0.74,,immigrant gateway; market access,human capital
0646492,Maywood city,CA,24593,3.416,3.416,0.9441,1.001,0.569,0.09,1.817,-0.219,2.415,639007,595000,1,medium,statistical/mechanism disagreement,-0.06,-0.77,1.86,0.28,4.61,-0.2,1.93,-0.48,-0.97,,immigrant gateway; market access,human capital
1254450,Palm Springs village,FL,26871,3.415,3.415,0.9439,0.748,0.413,0.096,1.389,0.979,2.668,275209,234500,1,medium,statistical/mechanism disagreement,-0.23,-0.11,0.9,0.1,4.81,0.1,1.17,-0.68,-0.28,,immigrant gateway; market access,
1249450,North Miami city,FL,59429,3.41,3.41,0.9429,0.487,0.253,0.059,1.808,0.243,2.923,425670,326300,1,medium,statistical/mechanism disagreement,0.09,-0.09,1.08,0.15,4.84,0.25,1.19,0.06,-0.27,,immigrant gateway; market access,
0660102,Redwood City city,CA,82423,3.407,3.407,0.9422,0.595,0.319,0.005,2.026,-0.366,2.812,1865907,1838800,1,medium,statistical/mechanism disagreement,0.07,1.73,1.37,0.12,2.73,-0.32,0.7,-0.51,-0.36,,human capital; immigrant gateway; market access,
1249475,North Miami Beach city,FL,43104,3.395,3.395,0.9399,0.487,0.253,0.082,1.825,0.337,2.908,454932,317800,1,medium,statistical/mechanism disagreement,-0.03,0.17,1.08,-0.08,5.17,0.36,1.2,-0.25,-0.17,,immigrant gateway; market access,
2424650,East Riverdale CDP,MD,19043,3.392,3.392,0.9392,1.32,0.766,0.092,1.862,1.476,2.071,376030,346700,1,medium,statistical/mechanism disagreement,-0.2,-0.2,1.42,0.66,5.05,-0.23,1.62,-0.66,-0.73,,immigrant gateway; market access,
1226375,Golden Glades CDP,FL,35042,3.389,3.389,0.9387,0.393,0.195,0.062,1.795,-0.084,2.996,478483,346900,1,medium,statistical/mechanism disagreement,0.34,-0.38,1.08,0,4.43,0.05,1.39,0.51,-0.46,,immigrant gateway; market access,
0636056,Huntington Park city,CA,53658,3.376,3.376,0.9361,0.819,0.458,0.067,1.719,-0.549,2.557,662123,557600,1,medium,statistical/mechanism disagreement,-0.01,-0.77,1.85,0.26,4.29,-0.17,1.86,-0.49,-0.75,,immigrant gateway; market access,human capital
3474630,Union City city,NJ,66375,3.366,3.366,0.934,1.521,0.89,0.063,2.346,0.757,1.845,542393,446800,1,high,,0.04,0.22,1.98,0.1,5.16,-0.12,2.28,-0.55,-0.38,,immigrant gateway; market access; structural housing scarcity,
0684550,Westminster city,CA,90147,3.354,3.354,0.9315,0.392,0.195,0.011,1.994,-0.489,2.961,1070290,820000,1,medium,statistical/mechanism disagreement,0.18,-0.07,1.88,-0.26,4.14,-0.13,1.39,-0.09,-0.68,,immigrant gateway; market access,
0681204,Union City city,CA,68141,3.345,3.345,0.9298,0.632,0.342,0.011,2.197,0.31,2.713,1320747,1058200,1,medium,statistical/mechanism disagreement,0.08,1,1.4,-0.11,4.28,-0.37,0.84,0.06,-0.78,,immigrant gateway; market access; human capital,
0673262,South San Francisco city,CA,64487,3.343,3.343,0.9293,0.591,0.317,-0.012,1.968,0.228,2.751,1215526,1160100,1,medium,statistical/mechanism disagreement,0.15,0.69,1.41,-0.18,3.57,-0.17,1.19,0.2,-0.49,,immigrant gateway; market access; human capital,
0616378,Coronado city,CA,18558,3.34,3.34,0.9288,0.851,0.477,0.021,2.07,-1.102,2.489,2460986,1998900,1,medium,statistical/mechanism disagreement,0.82,2.04,0.96,-0.06,0.37,1.03,0.62,-0.1,-0.12,Military Anchor; Amenity Destination,human capital; institutional engines; market access,
0677000,Sunnyvale city,CA,153455,3.34,3.34,0.9287,0.881,0.495,0.05,2.809,0.564,2.459,2090339,1816600,1,medium,statistical/mechanism disagreement,-0.12,2.71,1.33,0.42,4.55,-0.38,0.94,-0.78,-0.55,,human capital; immigrant gateway; market access,
0683332,Walnut city,CA,27857,3.318,3.318,0.9243,0.798,0.444,0,2.66,0.943,2.52,1182628,972500,1,medium,statistical/mechanism disagreement,0.31,1.17,1.89,-0.28,4.71,-0.25,0.86,0.1,-0.63,,immigrant gateway; market access; human capital,
2400400,Adelphi CDP,MD,17210,3.317,3.317,0.924,0.993,0.565,0.073,2.258,1.466,2.324,451395,401700,1,medium,statistical/mechanism disagreement,0.29,0.23,1.42,0.37,5.21,-0.16,1.3,-0.01,-0.25,,immigrant gateway; market access,
1271569,The Hammocks CDP,FL,58548,3.304,3.304,0.9215,0.618,0.334,0.029,2.288,1.182,2.686,543464,437700,1,medium,statistical/mechanism disagreement,0.3,0.52,1.04,-0.14,5.22,-0.23,0.92,0.74,-0.79,,immigrant gateway; market access; human capital,
0629000,Garden Grove city,CA,170603,3.301,3.301,0.9209,0.728,0.401,0.006,1.927,-0.22,2.573,987202,765500,1,medium,statistical/mechanism disagreement,0.09,-0.11,1.89,-0.19,4.1,-0.11,1.43,-0.3,-0.75,,immigrant gateway; market access,
0625338,Foster City city,CA,32964,3.294,3.294,0.9195,0.902,0.509,0.048,2.858,0.932,2.392,1900047,1774500,1,medium,statistical/mechanism disagreement,-0.22,2.96,1.37,0.1,4.41,-0.42,1.15,-0.59,-0.71,,human capital; immigrant gateway; market access,
3479610,West New York town,NJ,51683,3.294,3.294,0.9195,1.57,0.92,0.087,2.557,1.433,1.725,442127,410200,1,high,,-0.01,0.54,1.98,0.18,5.46,-0.15,2.13,-0.34,-0.43,,immigrant gateway; market access; human capital,
1239525,Lauderdale Lakes city,FL,35924,3.293,3.293,0.9192,1.144,0.658,0.12,1.793,1.968,2.148,153099,203100,1,medium,statistical/mechanism disagreement,0.07,-0.34,1.12,0.12,4.18,0.82,1.46,0.4,-0.54,,immigrant gateway; market access,
0602896,Artesia city,CA,16044,3.286,3.286,0.9177,0.817,0.456,0.018,2.105,0.406,2.469,856134,763700,1,medium,statistical/mechanism disagreement,0.24,0.06,1.86,-0.13,4.54,-0.07,1.47,-0.33,-0.37,,immigrant gateway; market access,
0600884,Alhambra city,CA,81483,3.284,3.284,0.9174,0.693,0.38,0.016,2.392,0.297,2.591,908896,812700,1,medium,statistical/mechanism disagreement,0.36,0.52,1.86,-0.12,4.17,-0.11,1.49,0.23,-0.47,,immigrant gateway; market access; human capital,
0617498,Cudahy city,CA,22325,3.281,3.281,0.9168,0.919,0.519,0.086,1.633,-0.808,2.362,668649,505300,1,medium,statistical/mechanism disagreement,-0.04,-0.86,1.86,0.44,3.88,-0.11,1.84,-0.54,-0.84,,immigrant gateway; market access,human capital
3418070,Dover town,NJ,18420,3.281,3.281,0.9168,0.689,0.377,0.076,1.87,0.543,2.592,513705,347100,1,medium,statistical/mechanism disagreement,-0.21,-0.21,1.93,-0.23,4.76,-0.14,1.31,-0.3,-0.84,,immigrant gateway; market access,
0672996,South El Monte city,CA,19413,3.276,3.276,0.9158,0.47,0.242,0.065,1.561,-0.636,2.806,754125,578100,1,medium,statistical/mechanism disagreement,-0.08,-0.68,1.87,-0.08,4.07,-0.11,1.19,-0.55,-0.88,,immigrant gateway; market access,human capital
0609066,Burlingame city,CA,30526,3.268,3.268,0.9142,0.364,0.177,-0.014,2.056,-0.784,2.904,2609145,2000001,1,medium,statistical/mechanism disagreement,-0.03,2.15,1.4,-0.15,2.43,-0.13,1.16,-0.5,-0.04,,human capital; market access; immigrant gateway,
2521990,Everett city,MA,49236,3.261,3.261,0.9129,0.547,0.29,0.048,1.73,0.215,2.714,637105,605200,1,medium,statistical/mechanism disagreement,0.11,0,1.1,0.3,4.13,-0.04,1.59,-0.01,-0.3,,immigrant gateway; market access,
0617610,Cupertino city,CA,58886,3.259,3.259,0.9124,0.928,0.524,0.023,3.062,0.55,2.331,3034759,2000001,1,medium,outside historical predictor support; statistical/mechanism disagreement,-0.09,3.28,1.28,-0.2,5.15,-0.44,0.99,-0.7,-0.59,,human capital; immigrant gateway; market access,
1251125,Ojus CDP,FL,17101,3.259,3.259,0.9125,0.874,0.491,0.082,1.955,2.042,2.386,233256,298500,1,medium,statistical/mechanism disagreement,-0.07,0.88,1.09,-0.12,5.01,0.38,1,-0.41,0.16,,immigrant gateway; market access; human capital,
0668252,San Mateo city,CA,103555,3.257,3.257,0.912,0.812,0.453,0.011,2.289,0.154,2.445,1662573,1563200,1,medium,statistical/mechanism disagreement,0.03,1.87,1.41,0.09,3.19,-0.29,1.23,-0.34,-0.49,,human capital; immigrant gateway; market access,
0626000,Fremont city,CA,228518,3.248,3.248,0.9102,0.825,0.461,0.01,2.609,0.882,2.423,1567911,1289400,1,medium,statistical/mechanism disagreement,-0.04,2.11,1.38,0.07,4.61,-0.35,0.62,-0.39,-0.7,,immigrant gateway; human capital; market access,
0668000,San Jose city,CA,990054,3.247,3.247,0.9099,0.737,0.407,-0.03,2.022,0.003,2.509,1454841,1187800,1,medium,statistical/mechanism disagreement,0.05,1.15,1.27,0.04,3.71,-0.26,0.94,-0.36,-0.57,,immigrant gateway; market access; human capital,
3421000,Elizabeth city,NJ,135887,3.241,3.241,0.9088,0.784,0.436,0.042,1.797,0.165,2.457,541564,393500,1,medium,statistical/mechanism disagreement,-0.02,-0.51,1.97,0.14,4.67,-0.3,1.41,-0.36,-0.36,,immigrant gateway; market access,human capital
0619192,Diamond Bar city,CA,53750,3.23,3.23,0.9066,0.711,0.391,-0.007,2.487,0.622,2.52,1015122,867000,1,medium,statistical/mechanism disagreement,0.29,1.06,1.89,-0.39,4.27,-0.22,0.99,-0.09,-0.69,,immigrant gateway; market access; human capital,
1233250,Immokalee CDP,FL,25624,3.228,3.228,0.9061,0.272,0.121,0.08,0.562,-0.455,2.956,288106,197000,1,medium,statistical/mechanism disagreement,-0.19,-0.6,0.49,0.5,3.28,-0.07,0.12,-0.6,0.13,,immigrant gateway,human capital
3455770,Palisades Park borough,NJ,20192,3.221,3.221,0.9048,0.898,0.506,0.05,2.784,1,2.324,926148,704400,1,medium,statistical/mechanism disagreement,0.08,1.02,1.98,-0.21,5.69,-0.42,1.4,0.05,-0.76,,immigrant gateway; market access; human capital,
0673220,South Pasadena city,CA,26297,3.211,3.211,0.9028,0.914,0.516,-0.006,2.592,0.141,2.297,1631840,1545100,1,medium,statistical/mechanism disagreement,0.3,2.41,1.85,-0.06,1.85,-0.3,1.39,0,-0.41,,human capital; market access; immigrant gateway,
0449640,Nogales city,AZ,19753,3.202,3.202,0.901,0.262,0.114,0.048,0.107,-0.606,2.94,218785,172800,1,medium,statistical/mechanism disagreement,-0.44,-0.41,-0.6,0.16,3.99,-0.3,0.12,-0.53,0.04,,immigrant gateway,market access; institutional engines
0604996,Bell Gardens city,CA,38661,3.2,3.2,0.9005,0.781,0.434,0.066,1.566,-0.841,2.419,690088,527900,1,medium,statistical/mechanism disagreement,-0.05,-0.84,1.86,0.34,3.68,-0.18,1.62,-0.44,-0.89,,market access; immigrant gateway,human capital
0649670,Mountain View city,CA,82363,3.198,3.198,0.9,0.821,0.459,0.038,2.769,0.604,2.376,1988714,1927400,1,medium,statistical/mechanism disagreement,0.05,3.03,1.33,0.46,3.85,-0.37,0.76,-0.63,0.05,,human capital; immigrant gateway; market access,
0673080,South Gate city,CA,91836,3.184,3.184,0.8972,0.831,0.465,0.04,1.678,-0.189,2.353,679542,608500,1,medium,statistical/mechanism disagreement,0.06,-0.59,1.86,0.1,3.73,-0.27,1.59,-0.35,-0.86,,immigrant gateway; market access,human capital
0604870,Bell city,CA,32830,3.18,3.18,0.8964,0.804,0.448,0.057,1.576,-0.584,2.376,668304,561400,1,medium,statistical/mechanism disagreement,0,-0.86,1.86,0.21,3.72,-0.18,1.66,-0.31,-0.82,,market access; immigrant gateway,human capital
0668364,San Rafael city,CA,60604,3.179,3.179,0.8963,0.19,0.07,-0.011,1.796,-0.557,2.989,1326278,1246200,1,medium,statistical/mechanism disagreement,0.03,1.27,1.32,-0.19,2.28,-0.17,0.99,-0.23,-0.73,,market access; human capital; immigrant gateway,
1222975,Florida City city,FL,12791,3.179,3.179,0.8962,0.232,0.096,0.077,0.863,-0.696,2.946,390522,353200,1,medium,statistical/mechanism disagreement,-0.14,-0.48,0.88,0.43,3.06,-0.28,0.28,-0.42,-0.38,,immigrant gateway; market access,
0668224,San Marino city,CA,12279,3.177,3.177,0.8958,0.282,0.127,-0.005,3.036,0.393,2.894,2629402,2000001,1,medium,statistical/mechanism disagreement,0.28,2.62,1.86,-0.27,4.25,-0.2,0.91,0.5,0.29,,human capital; immigrant gateway; market access,
1245100,Miami Lakes town,FL,30731,3.166,3.166,0.8937,0.683,0.373,0.027,2.157,0.982,2.484,656943,577300,1,medium,statistical/mechanism disagreement,0.2,0.95,1.08,-0.36,4.66,-0.33,0.78,0.21,-0.79,,immigrant gateway; market access; human capital,
0630994,Greenfield city,CA,19759,3.164,3.164,0.8932,0.249,0.106,0.054,0.591,-0.657,2.915,553046,462400,1,medium,statistical/mechanism disagreement,-0.23,-0.82,0.08,0.63,3.61,-0.35,1.08,-0.65,-0.68,,immigrant gateway,human capital
1245200,Miami Springs city,FL,13606,3.162,3.162,0.8928,0.438,0.222,0.032,1.945,0.356,2.724,736280,504000,1,medium,statistical/mechanism disagreement,0.16,0.76,1.07,-0.15,4.29,-0.28,1.09,-0.52,-0.8,,immigrant gateway; market access; human capital,
3422560,Fairview borough,NJ,14920,3.16,3.16,0.8924,0.767,0.425,0.087,2.109,0.185,2.393,628879,512100,1,medium,statistical/mechanism disagreement,-0.03,-0.06,1.98,0.11,4.38,-0.12,1.73,-0.24,-0.84,,immigrant gateway; market access,
0463470,San Luis city,AZ,35998,3.145,3.145,0.8893,0.668,0.365,0.037,0.162,0.002,2.476,233932,197400,1,medium,statistical/mechanism disagreement,-0.08,-0.84,-0.92,0.23,4.21,-0.34,-0.28,-0.79,-0.95,,immigrant gateway,market access; human capital
0603666,Baldwin Park city,CA,70720,3.144,3.144,0.8892,0.9,0.507,0.036,1.858,0.118,2.244,707464,588100,1,medium,statistical/mechanism disagreement,0.11,-0.52,1.88,0.04,3.95,-0.22,1.52,0.02,-0.95,,immigrant gateway; market access,human capital
0665028,San Bruno city,CA,42612,3.14,3.14,0.8884,0.585,0.313,-0.01,1.842,-0.028,2.555,1297819,1199400,1,medium,statistical/mechanism disagreement,0.13,0.75,1.4,-0.05,3.12,-0.12,1.28,-0.11,-0.31,,immigrant gateway; market access; human capital,
2534550,Lawrence city,MA,88297,3.136,3.136,0.8876,0.483,0.25,0.059,1.538,-0.156,2.653,506259,393500,1,medium,statistical/mechanism disagreement,-0.02,-0.33,1.07,0.33,3.94,-0.23,1.53,0.01,-0.79,,immigrant gateway; market access,
0620802,East Los Angeles CDP,CA,114617,3.124,3.124,0.8851,0.811,0.453,0.036,1.577,-0.353,2.313,672552,613600,1,medium,statistical/mechanism disagreement,0.05,-0.62,1.86,0.25,3.48,-0.19,1.74,-0.44,-0.5,,market access; immigrant gateway,human capital
0667000,San Francisco city,CA,836321,3.123,3.123,0.8849,0.303,0.14,-0.035,1.871,0.094,2.819,1288861,1380500,1,medium,statistical/mechanism disagreement,-0.19,1.98,0.89,0.09,2.93,-0.13,1.59,-0.31,0.15,,human capital; immigrant gateway; market access,
0610345,Campbell city,CA,42848,3.122,3.122,0.8847,0.424,0.214,-0.007,1.947,-0.525,2.698,1893432,1550000,1,medium,statistical/mechanism disagreement,0.02,1.7,1.27,-0.02,2.62,-0.3,1.1,-0.33,-0.29,,human capital; immigrant gateway; market access,
2556585,Revere city,MA,59933,3.12,3.12,0.8842,0.376,0.185,0.027,1.542,0.123,2.743,618587,566200,1,medium,statistical/mechanism disagreement,0.07,0.05,1.09,0.07,3.92,0,1.21,-0.1,-0.1,,immigrant gateway; market access,
0669000,Santa Ana city,CA,311639,3.118,3.118,0.8839,0.995,0.566,0.021,1.86,-0.038,2.123,855017,657800,1,medium,statistical/mechanism disagreement,0.02,-0.21,1.91,0.26,3.65,-0.07,1.44,-0.36,-0.77,,market access; immigrant gateway,
3458200,Perth Amboy city,NJ,55278,3.111,3.111,0.8825,0.794,0.442,0.064,1.759,0.141,2.317,492362,339200,1,medium,statistical/mechanism disagreement,-0.09,-0.39,1.96,0.09,4.39,-0.38,1.42,-0.64,-0.72,,immigrant gateway; market access,
0644000,Los Angeles city,CA,3857897,3.107,3.107,0.8816,0.764,0.424,-0.023,2.021,-0.288,2.342,954225,879500,1,medium,statistical/mechanism disagreement,0.14,0.71,1.81,0.15,3.1,-0.05,1.19,-0.23,-0.27,,market access; immigrant gateway; human capital,
0673108,South Lake Tahoe city,CA,21319,3.107,3.107,0.8817,0.568,0.303,0.151,1.013,-0.755,2.539,670543,630200,1,medium,statistical/mechanism disagreement,-0.16,0.31,0.05,0.06,1.45,3.23,0.6,-0.51,-0.3,Amenity Destination,amenity capital; immigrant gateway,
0632548,Hawthorne city,CA,85933,3.104,3.104,0.881,0.816,0.456,0.035,1.905,-0.413,2.288,866983,813700,1,medium,statistical/mechanism disagreement,0.17,0.05,1.83,0.39,2.88,-0.11,1.57,-0.07,-0.68,,market access; immigrant gateway,
1249425,North Lauderdale city,FL,44650,3.104,3.104,0.8811,0.823,0.46,0.055,1.814,0.982,2.28,361295,270600,1,medium,statistical/mechanism disagreement,0.2,-0.11,1.12,0.12,4.3,-0.15,1.43,0.26,-0.63,,immigrant gateway; market access,
2416875,Chillum CDP,MD,35163,3.104,3.104,0.8811,0.891,0.502,0.053,1.892,1.227,2.213,411765,383900,1,medium,statistical/mechanism disagreement,0.11,-0.06,1.42,0.18,4.64,-0.14,1.4,-0.19,-0.43,,immigrant gateway; market access,
1276582,Weston city,FL,67952,3.103,3.103,0.8808,0.877,0.493,0.021,2.518,1.825,2.226,747008,644100,1,medium,statistical/mechanism disagreement,-0.12,2.09,1.13,-0.46,4.8,0.06,0.83,-0.4,-0.92,,immigrant gateway; human capital; market access,
0633000,Hayward city,CA,159201,3.095,3.095,0.8793,0.684,0.374,-0.003,1.777,0.315,2.411,886250,820700,1,medium,statistical/mechanism disagreement,0.08,0.29,1.39,0.04,3.76,-0.28,0.75,0.19,-0.53,,immigrant gateway; market access,
0668112,San Lorenzo CDP,CA,29453,3.094,3.094,0.879,0.608,0.328,0.007,1.596,0.169,2.485,846001,833800,1,medium,statistical/mechanism disagreement,0.06,-0.06,1.39,-0.1,3.32,-0.27,1.47,0,-0.79,,immigrant gateway; market access,
0624477,Florence-Graham CDP,CA,61723,3.081,3.081,0.8764,0.899,0.507,0.057,1.491,-0.398,2.182,589678,499100,1,medium,statistical/mechanism disagreement,-0.12,-0.79,1.84,0.46,3.62,-0.15,1.75,-0.67,-0.67,,market access; immigrant gateway,human capital
0683668,Watsonville city,CA,51968,3.08,3.08,0.8762,0.182,0.065,0.022,1.089,-1.067,2.897,822820,657700,1,medium,statistical/mechanism disagreement,-0.06,-0.55,1.01,0.17,3.02,-0.3,1.36,-0.19,-0.73,,immigrant gateway; market access,human capital
3456550,Passaic city,NJ,69651,3.08,3.08,0.8764,1.233,0.713,0.064,2.009,0.106,1.847,550909,406500,1,high,,0.05,-0.31,1.97,0.41,3.77,-0.26,1.89,0.08,-0.82,,market access; immigrant gateway,
0668084,San Leandro city,CA,88531,3.073,3.073,0.8749,0.454,0.233,0.003,1.758,0.107,2.619,839172,813600,1,medium,statistical/mechanism disagreement,0.09,0.39,1.4,-0.15,3.31,-0.2,1.27,-0.07,-0.68,,immigrant gateway; market access,
0668294,San Pablo city,CA,31771,3.072,3.072,0.8746,0.747,0.413,0.046,1.511,0.118,2.324,588868,516000,1,medium,statistical/mechanism disagreement,0.02,-0.46,1.38,0.35,3.63,-0.08,1.53,-0.49,-0.72,,immigrant gateway; market access,
0608954,Burbank city,CA,105165,3.069,3.069,0.8741,0.636,0.344,0.006,2.019,-0.416,2.434,1211249,1041100,1,medium,statistical/mechanism disagreement,0.08,1.17,1.82,-0.03,2.41,0.01,1.21,-0.23,-0.29,,market access; immigrant gateway; human capital,
2513205,Chelsea city,MA,39460,3.069,3.069,0.8741,0.589,0.316,0.058,1.7,0.378,2.48,524888,476500,1,medium,statistical/mechanism disagreement,0.04,-0.08,1.09,0.33,4.1,-0.07,1.49,-0.02,-0.58,,immigrant gateway; market access,
0640886,Lawndale city,CA,31113,3.064,3.064,0.8731,1.003,0.571,0.039,1.73,-0.09,2.061,777905,726000,1,medium,statistical/mechanism disagreement,0.01,-0.2,1.82,0.15,3.26,0.17,1.76,-0.65,-0.72,,market access; immigrant gateway,
1239081,Lake Worth Beach city,FL,42650,3.057,3.057,0.8715,0.399,0.199,0.071,1.276,-0.069,2.658,448148,329300,1,medium,statistical/mechanism disagreement,-0.18,0.2,0.89,0.11,3.54,0.28,1.25,-0.69,-0.11,,immigrant gateway; market access,
3402080,Atlantic City city,NJ,38486,3.048,3.048,0.8698,0.351,0.169,0.052,0.779,-0.148,2.697,216290,189600,1,medium,statistical/mechanism disagreement,-0.06,-0.38,0.43,-0.2,2.43,1.46,0.92,-0.05,0.24,,immigrant gateway; amenity capital,
0646828,Mendota city,CA,12554,3.04,3.04,0.8682,0.259,0.113,0.076,0.351,-0.804,2.781,310725,250400,1,medium,statistical/mechanism disagreement,-0.64,-1.14,0.37,0.9,4.35,-0.45,0.18,-1.65,-0.87,,immigrant gateway,human capital; institutional engines; healthcare capacity
0644574,Lynwood city,CA,65291,3.037,3.037,0.8675,0.917,0.518,0.05,1.725,-0.123,2.12,663064,569400,1,medium,statistical/mechanism disagreement,0.12,-0.64,1.85,0.4,3.36,-0.29,1.7,-0.13,-0.9,,market access; immigrant gateway,human capital
1271567,The Crossings CDP,FL,22359,3.032,3.032,0.8665,0.649,0.353,0.037,2.13,1.15,2.383,512727,414300,1,medium,statistical/mechanism disagreement,0.28,0.84,1.04,-0.27,4.36,-0.33,1.32,-0.1,-0.91,,immigrant gateway; market access; human capital,
0684592,Westmont CDP,CA,34291,3.021,3.021,0.8644,0.619,0.334,0.051,1.512,-1.189,2.402,690760,617300,1,medium,statistical/mechanism disagreement,0.17,-0.54,1.83,0.31,2.37,-0.13,1.74,-0.08,-0.52,,market access; immigrant gateway,human capital
0669084,Santa Clara city,CA,129239,3.017,3.017,0.8636,0.965,0.547,0.021,2.644,0.666,2.052,1748232,1527900,1,medium,statistical/mechanism disagreement,0.09,2.28,1.32,0.48,4.12,-0.32,0.84,-0.62,-0.42,,human capital; immigrant gateway; market access,
1323536,Doraville city,GA,10738,3.017,3.017,0.8635,0.461,0.237,0.081,1.27,0.295,2.556,370578,297700,1,medium,statistical/mechanism disagreement,-0.21,0.42,0.76,0.27,3.88,-0.26,0.62,-0.99,-0.42,,immigrant gateway; market access,
4414140,Central Falls city,RI,22481,3.011,3.011,0.8623,0.457,0.235,0.072,1.21,-0.364,2.554,378395,300500,1,medium,statistical/mechanism disagreement,-0.07,-0.51,1.11,0.49,3.57,-0.26,1.63,0.08,0.18,,immigrant gateway; market access,human capital
3428650,Guttenberg town,NJ,11638,3.01,3.01,0.8621,1.827,1.078,0.076,2.877,2.193,1.183,410845,360700,1,high,,0.18,0.73,1.98,0.16,5.28,0.05,2.01,0.62,-0.46,,immigrant gateway; market access; human capital,
0664224,Salinas city,CA,161993,3.004,3.004,0.8608,0.339,0.162,0.007,1.105,-0.505,2.665,747795,610900,1,medium,statistical/mechanism disagreement,0.01,-0.52,0.77,0.39,3.15,-0.25,1.26,-0.27,-0.74,,immigrant gateway; market access,human capital
0647766,Milpitas city,CA,78216,2.988,2.988,0.8577,0.8,0.446,0.026,2.488,0.87,2.188,1488258,1180000,1,medium,statistical/mechanism disagreement,-0.13,1.77,1.36,0.25,5.07,-0.35,0.29,-0.47,-0.67,,immigrant gateway; human capital; market access,
3637583,Inwood CDP,NY,11964,2.969,2.969,0.8539,0.808,0.451,0.079,2.091,0.103,2.161,804324,610600,1,medium,statistical/mechanism disagreement,0.2,0.08,1.97,0.32,3.77,-0.34,1.25,0.28,-0.4,,market access; immigrant gateway,
