geoid,name,state,pop,zone,zoneName,zonePlaces,zoneRank,zonePercentile,structuralZoneRank,mechanismScore,structuralScore,historicalPersistenceScore,valuationGap,confidence,flowContradiction,tags
4857176,Pflugerville city,TX,65162,482,"Austin, TX",87,1,,25,0.811,0.894,-0.012,1.037,high,0,
4823044,Elgin city,TX,10996,482,"Austin, TX",87,2,,49,0.794,0.401,-0.14,0.599,high,0,
4865600,San Marcos city,TX,68920,482,"Austin, TX",87,3,,17,0.775,0.99,-0.801,-0.06,high,0,Knowledge Center
2914572,Clayton city,MO,17282,140,"St. Louis city, MO",202,1,,1,1.129,2.497,-0.297,1.405,medium,0,Knowledge Center
2927334,Glendale city,MO,6111,140,"St. Louis city, MO",202,2,,8,1.022,1.78,-1.022,2.057,medium,0,
2908236,Brentwood city,MO,8151,140,"St. Louis city, MO",202,3,,10,0.989,1.74,-0.907,2.097,high,0,
1853874,New Whiteland town,IN,5641,146,"Indianapolis, IN",95,1,,24,0.858,0.464,-0.936,1.233,high,0,
1816336,Cumberland town,IN,6154,146,"Indianapolis, IN",95,2,,20,0.848,0.583,-0.575,0.765,high,0,
1823278,Fishers city,IN,100918,146,"Indianapolis, IN",95,3,,4,0.829,1.315,-0.812,1.495,high,0,
3657001,Pelham village,NY,7247,366,"Yonkers city, NY",239,1,,12,1.28,2.662,0.001,1.42,high,0,
3608532,Bronxville village,NY,6539,366,"Yonkers city, NY",239,2,,23,1.065,2.525,-0.418,1.185,high,0,
3641333,Larchmont village,NY,6542,366,"Yonkers city, NY",239,3,,5,1.065,3.192,1.28,1.295,high,0,
3906278,Bexley city,OH,13324,406,"Columbus, OH",121,1,,7,1.034,1.705,-0.831,1.728,high,0,
3936624,Huber Ridge CDP,OH,4311,406,"Columbus, OH",121,2,,22,0.973,0.931,-0.556,1.335,high,1,
3906670,Blacklick Estates CDP,OH,8867,406,"Columbus, OH",121,3,,67,0.904,0.135,-0.461,0.555,high,1,
5586700,Whitefish Bay village,WI,14750,557,"Milwaukee, WI",105,1,,2,0.957,1.945,-0.944,1.755,high,0,
5506500,Beloit city,WI,36554,557,"Milwaukee, WI",105,2,,75,0.878,0.315,-0.025,0.642,high,0,
5586925,Whitewater city,WI,15705,557,"Milwaukee, WI",105,3,,17,0.871,1.255,-0.76,0.084,high,0,Knowledge Center
0614274,Coalinga city,CA,17352,45,"Fresno, CA",113,1,,25,0.797,0.619,1.568,0.661,medium,0,
0657512,Pixley CDP,CA,3796,45,"Fresno, CA",113,2,,87,0.734,-0.018,1.579,-0.037,high,0,
0636910,Ivanhoe CDP,CA,4397,45,"Fresno, CA",113,3,,32,0.705,0.572,2.81,0.145,medium,0,
0680238,Tracy city,CA,95358,41,"Stockton, CA",119,1,,7,0.745,1.207,2.02,0.228,high,0,
0641558,Lincoln Village CDP,CA,3954,41,"Stockton, CA",119,2,,6,0.722,1.211,2.336,0.709,high,1,Government Hub
0616210,Copperopolis CDP,CA,4644,41,"Stockton, CA",119,3,,67,0.704,0.467,0.766,-0.124,high,0,Amenity Destination
3986730,Wyoming city,OH,8712,205,"Cincinnati, OH--KY",195,1,,4,0.982,1.804,-1.021,2.19,medium,0,
3913848,Cherry Grove CDP,OH,3940,205,"Cincinnati, OH--KY",195,2,,33,0.946,1.059,-0.895,1.825,high,1,
3914128,Cheviot city,OH,8655,205,"Cincinnati, OH--KY",195,3,,138,0.913,0.204,-0.526,0.417,high,1,
3711800,Chapel Hill town,NC,59889,381,"Raleigh, NC",55,1,,2,0.876,2.314,-0.562,0.924,high,0,Knowledge Center
3710620,Carrboro town,NC,21170,381,"Raleigh, NC",55,2,,3,0.801,2.242,-0.5,1.573,high,0,Knowledge Center
3771860,Wendell town,NC,11585,381,"Raleigh, NC",55,3,,27,0.719,0.371,-0.529,0.248,high,0,
1262525,St. Augustine Beach city,FL,6819,75,"Jacksonville, FL",54,1,,2,0.879,1.342,1.702,0.271,high,0,Amenity Destination; Aging Trap
1343640,Kingsland city,GA,19101,75,"Jacksonville, FL",54,2,,35,0.756,0.05,-0.527,0.07,high,0,Military Anchor
1235000,Jacksonville city,FL,961739,75,"Jacksonville, FL",54,3,,21,0.637,0.513,0.114,0.218,high,0,
4078500,Warr Acres city,OK,10437,415,"Oklahoma City, OK",100,1,,8,0.887,0.419,0.473,0.84,high,0,
4005700,Bethany city,OK,20606,415,"Oklahoma City, OK",100,2,,11,0.883,0.357,-0.2,0.63,high,0,
4049200,Moore city,OK,63045,415,"Oklahoma City, OK",100,3,,9,0.852,0.41,-0.727,0.946,high,0,
2453325,Montgomery Village CDP,MD,34161,233,"Germantown CDP, MD",130,1,,49,1.064,2.028,1.753,1.828,high,1,
2432025,Germantown CDP,MD,90521,233,"Germantown CDP, MD",130,2,,33,1.023,2.324,2.028,2.26,high,0,
2472450,Silver Spring CDP,MD,82129,233,"Germantown CDP, MD",130,3,,21,0.987,2.488,1.581,1.668,high,0,
4203320,Aspinwall borough,PA,2866,441,"Pittsburgh, PA",336,1,,2,1.166,1.953,-0.712,2.174,high,1,
4281832,Waynesburg borough,PA,3868,441,"Pittsburgh, PA",336,2,,45,1.022,0.83,-0.403,1.06,medium,1,Knowledge Center; Government Hub
4208416,Brentwood borough,PA,9927,441,"Pittsburgh, PA",336,3,,47,0.969,0.794,-0.469,1.22,high,1,
3481170,Wildwood city,NJ,5140,346,"Trenton city, NJ",214,1,,174,1.018,0.43,3.209,-1.804,medium,1,Amenity Destination; Aging Trap
3402200,Audubon borough,NJ,8699,346,"Trenton city, NJ",214,2,,36,1.017,1.431,-0.842,1.727,high,1,
3428770,Haddonfield borough,NJ,12502,346,"Trenton city, NJ",214,3,,6,0.995,2.291,-0.891,2.08,high,0,
4759560,Pleasant View city,TN,5111,468,"Nashville-Davidson, TN",62,1,,23,0.619,0.24,-0.62,0.046,high,0,
4780200,White House city,TN,13875,468,"Nashville-Davidson, TN",62,2,,25,0.607,0.187,-0.673,-0.177,high,0,
4730960,Greenbrier town,TN,6960,468,"Nashville-Davidson, TN",62,3,,34,0.552,-0.025,-0.418,-0.452,high,0,
4841788,La Villa city,TX,2931,478,"McAllen, TX",131,1,,22,0.955,0.693,2.248,1.627,medium,0,
4824036,Elsa city,TX,5688,478,"McAllen, TX",131,2,,37,0.867,0.49,-0.092,1.321,high,0,
4801576,Alamo city,TX,20008,478,"McAllen, TX",131,3,,25,0.858,0.632,1.103,1.056,high,0,Amenity Destination
5113160,Carrollton CDP,VA,7903,379,"Virginia Beach city, VA",47,1,,7,0.792,0.44,-0.81,0.534,high,0,
3763130,Southern Shores town,NC,3119,379,"Virginia Beach city, VA",47,2,,14,0.685,0.233,0.937,-1.01,high,0,Amenity Destination
5157000,Norfolk city,VA,235037,379,"Virginia Beach city, VA",47,3,,1,0.683,0.992,-0.35,0.487,high,0,Military Anchor
0478540,Vail CDP,AZ,15722,14,"Tucson, AZ",56,1,,14,0.824,0.431,-0.868,0.622,high,0,
0462140,Sahuarita town,AZ,35012,14,"Tucson, AZ",56,2,,10,0.794,0.64,-0.642,0.747,high,0,
0444270,Marana town,AZ,54487,14,"Tucson, AZ",56,3,,11,0.693,0.635,-0.631,0.469,high,0,
2249800,Meraux CDP,LA,7492,220,"New Orleans, LA",86,1,,27,0.86,0.156,-0.382,0.406,high,1,
2246615,Luling CDP,LA,13873,220,"New Orleans, LA",86,2,,29,0.82,0.113,-0.707,0.303,high,0,
2262385,Prairieville CDP,LA,35010,220,"New Orleans, LA",86,3,,17,0.812,0.363,-0.763,0.94,high,0,
4728960,Germantown city,TN,40812,32,"Memphis, TN--MS--AR",54,1,,1,0.857,1.258,-0.948,1.454,high,0,
0544180,Marion city,AR,13641,32,"Memphis, TN--MS--AR",54,2,,7,0.826,0.3,-0.701,0.867,high,0,
4708500,Brighton town,TN,2865,32,"Memphis, TN--MS--AR",54,3,,12,0.824,0.098,-0.767,0.26,high,0,
4459000,Providence city,RI,190214,236,"Providence, RI--MA",49,1,,6,0.86,1.722,1.441,0.664,high,0,
4419180,Cranston city,RI,82632,236,"Providence, RI--MA",49,2,,13,0.611,1.232,0.261,0.589,high,0,
2502690,Attleboro city,MA,46499,236,"Providence, RI--MA",49,3,,27,0.577,0.883,-0.116,0.07,high,0,
1827324,Georgetown town,IN,3789,148,"Louisville/Jefferson County, KY--IN",121,1,,69,0.844,0.565,-0.692,1.046,high,0,
2154228,Mount Washington city,KY,18228,148,"Louisville/Jefferson County, KY--IN",121,2,,95,0.824,-0.037,-0.807,0.168,high,0,
2136982,Hillview city,KY,8735,148,"Louisville/Jefferson County, KY--IN",121,3,,91,0.801,0.09,-0.071,0.286,high,0,
3542320,Los Alamos CDP,NM,13471,349,"Albuquerque, NM",128,1,,5,0.664,1.323,0.473,1.047,high,0,
3563460,Rio Rancho city,NM,106533,349,"Albuquerque, NM",128,2,,32,0.652,0.389,-0.481,0.155,high,0,
3522380,Edgewood town,NM,6122,349,"Albuquerque, NM",128,3,,40,0.518,0.284,-0.395,-0.132,high,0,
3765580,Summerfield town,NC,11031,382,"Winston-Salem, NC",74,1,,4,0.839,0.878,-0.693,1.084,high,0,
3765040,Stokesdale town,NC,5943,382,"Winston-Salem, NC",74,2,,15,0.809,0.302,-0.497,0.894,high,0,
3725980,Gibsonville town,NC,9289,382,"Winston-Salem, NC",74,3,,14,0.783,0.417,-0.916,0.974,high,0,
4834832,Horizon City city,TX,23069,353,"El Paso, TX--NM",54,1,,11,0.79,0.627,1.322,0.847,high,0,
4865360,San Elizario city,TX,10123,353,"El Paso, TX--NM",54,2,,38,0.747,-0.038,1.563,-0.015,high,1,
4824000,El Paso city,TX,678147,353,"El Paso, TX--NM",54,3,,8,0.735,0.76,0.884,0.652,high,0,
1543250,Laie CDP,HI,5568,587,"Honolulu, HI",54,1,,3,1.03,1.768,2.364,-0.248,high,0,Knowledge Center; Amenity Destination
1530300,Kapolei CDP,HI,23033,587,"Honolulu, HI",54,2,,36,0.383,0.563,0.679,-0.531,high,0,Military Anchor
1512400,Hauula CDP,HI,3473,587,"Honolulu, HI",54,3,,37,0.311,0.561,1.121,-0.721,high,0,
0131348,Grayson Valley CDP,AL,5882,5,"Birmingham, AL",120,1,,11,0.936,0.656,-0.671,1.164,high,0,
0100820,Alabaster city,AL,33633,5,"Birmingham, AL",120,2,,18,0.844,0.461,-0.647,0.724,high,0,
0176944,Trussville city,AL,26182,5,"Birmingham, AL",120,3,,15,0.838,0.559,-0.865,0.877,high,0,
1224150,Fort Myers Beach town,FL,5548,81,"Cape Coral, FL",66,1,,30,0.864,0.697,1.689,-0.153,high,1,Amenity Destination
1243083,Marco Island city,FL,15998,81,"Cape Coral, FL",66,2,,25,0.853,0.744,2.543,-0.859,high,0,Amenity Destination
1247625,Naples city,FL,19421,81,"Cape Coral, FL",66,3,,7,0.832,1.29,2.371,1.134,high,1,Amenity Destination
0660704,Ridgecrest city,CA,28138,47,"Bakersfield, CA",90,1,,47,0.855,0.078,1.168,0.459,high,0,Government Hub
0677574,Taft city,CA,7228,47,"Bakersfield, CA",90,2,,43,0.789,0.122,0.386,0.34,high,0,
0645358,Mammoth Lakes town,CA,7233,47,"Bakersfield, CA",90,3,,24,0.705,0.416,3.547,-1.394,medium,0,Amenity Destination
0868847,Security-Widefield CDP,CO,38659,60,"Colorado Springs, CO",53,1,,15,0.613,0.581,0.289,0.177,high,0,Military Anchor
0827865,Fountain city,CO,29327,60,"Colorado Springs, CO",53,2,,13,0.575,0.619,-0.129,0.189,high,0,Military Anchor
0874430,Stratmoor CDP,CO,6396,60,"Colorado Springs, CO",53,3,,18,0.473,0.386,-0.061,-0.311,high,0,
3602198,Angola village,NY,2628,359,"Buffalo, NY",108,1,,47,0.766,0.078,-0.545,0.615,high,0,
3650221,Newfane CDP,NY,3470,359,"Buffalo, NY",108,2,,33,0.757,0.276,-0.778,0.695,high,0,
3615836,Clarence Center CDP,NY,2551,359,"Buffalo, NY",108,3,,11,0.729,0.921,-0.548,0.77,high,0,Aging Trap
4009050,Broken Arrow city,OK,115919,418,"Tulsa, OK",66,1,,4,0.844,0.334,-0.631,0.582,high,0,
4029600,Glenpool city,OK,13885,418,"Tulsa, OK",66,2,,7,0.811,0.168,-0.612,0.568,high,0,
4065300,Sand Springs city,OK,19973,418,"Tulsa, OK",66,3,,14,0.807,-0.113,-0.734,0.262,high,0,
4228960,Gettysburg borough,PA,7929,440,"Harrisburg, PA",211,1,,5,1.084,1.647,-0.299,0.444,medium,0,Knowledge Center
4249728,Millersville borough,PA,8711,440,"Harrisburg, PA",211,2,,10,1.045,1.378,-0.407,0.715,medium,0,Knowledge Center
4279682,Valley View CDP,PA,2963,440,"Harrisburg, PA",211,3,,37,0.93,0.903,-0.357,2.022,high,0,
3957764,Oakwood city,OH,9480,402,"Dayton, OH",98,1,,1,1.032,1.808,-1.076,2.646,medium,0,
3927846,Fort McKinley CDP,OH,3832,402,"Dayton, OH",98,2,,13,0.918,0.55,-0.852,1.905,high,1,
3940040,Kettering city,OH,57442,402,"Dayton, OH",98,3,,9,0.89,1.065,-0.79,1.285,high,0,
4270248,Shillington borough,PA,5462,443,"Allentown--Bethlehem, PA--NJ",200,1,,54,0.922,0.777,-0.323,0.993,high,0,
4227760,Freemansburg borough,PA,2871,443,"Allentown--Bethlehem, PA--NJ",200,2,,31,0.919,0.976,0.153,1.533,high,0,
4200660,Alburtis borough,PA,2586,443,"Allentown--Bethlehem, PA--NJ",200,3,,21,0.917,1.134,-0.849,1.303,high,0,
3103950,Bellevue city,NE,64355,170,"Omaha, NE--IA",64,1,,7,0.882,0.629,-0.365,0.862,high,0,
1911215,Carter Lake city,IA,3773,170,"Omaha, NE--IA",64,2,,30,0.855,-0.086,0.124,0.562,high,0,
3138295,Papillion city,NE,24063,170,"Omaha, NE--IA",64,3,,2,0.801,0.856,-0.872,0.883,high,0,
2623980,East Grand Rapids city,MI,11394,242,"Grand Rapids, MI",81,1,,1,0.888,1.606,-1.07,1.551,high,0,
2622660,Dorr CDP,MI,3952,242,"Grand Rapids, MI",81,2,,69,0.778,-0.474,-0.819,-0.466,high,0,
2655100,Montague city,MI,2630,242,"Grand Rapids, MI",81,3,,61,0.748,-0.378,-0.67,-0.411,high,0,
3235100,Incline Village CDP,NV,9152,40,"Reno, NV--CA",63,1,,7,0.768,1.142,2.907,-0.606,medium,0,Amenity Destination
0621880,El Dorado Hills CDP,CA,50553,40,"Reno, NV--CA",63,2,,5,0.633,1.255,0.204,0.445,high,0,
0673108,South Lake Tahoe city,CA,21319,40,"Reno, NV--CA",63,3,,8,0.568,1.013,3.107,-0.755,medium,1,Amenity Destination
5124496,East Highland Park CDP,VA,16071,525,"Richmond, VA",46,1,,26,0.666,0.33,-0.353,0.283,high,0,
5118448,Colonial Heights city,VA,18210,525,"Richmond, VA",46,2,,28,0.654,0.267,-0.393,0.196,high,0,
5151560,Midlothian CDP,VA,18702,525,"Richmond, VA",46,3,,9,0.634,1.01,-0.601,0.7,high,0,
1644290,Kuna city,ID,25960,108,"Boise City, ID",39,1,,13,0.47,0.064,-0.544,-0.479,high,0,
4153750,Nyssa city,OR,3220,108,"Boise City, ID",39,2,,16,0.459,-0.051,0.697,-0.705,high,0,
1652120,Meridian city,ID,124865,108,"Boise City, ID",39,3,,5,0.433,0.361,-0.663,-0.374,high,0,
4849392,Morgan's Point Resort city,TX,4709,484,"Killeen, TX",71,1,,6,0.843,0.548,-0.777,0.805,high,0,
4816624,Copperas Cove city,TX,37149,484,"Killeen, TX",71,2,,8,0.841,0.535,0.001,0.804,high,0,Military Anchor
